budget,days,interest,month,travel_style,travelers,recommended_place
15000,3,Beach,May,Budget,2,Goa
8000,2,Temple,Jan,Family,4,Tirupati
25000,4,Nature,Jun,Solo,1,Manali
20000,5,Adventure,Jul,Budget,2,Rishikesh
30000,4,Beach,Dec,Luxury,2,Andaman
12000,3,Temple,Oct,Family,4,Varanasi
18000,4,Nature,Apr,Solo,1,Coorg
22000,5,Shopping,Nov,Luxury,2,Mumbai
10000,3,Adventure,Mar,Budget,3,Munnar
35000,6,Beach,Jan,Luxury,2,Andaman
5000,2,Temple,Feb,Budget,4,Tirupati
28000,5,Nature,May,Solo,1,Leh
40000,7,Adventure,Aug,Luxury,2,Leh
14000,3,Shopping,Dec,Family,4,Delhi
9000,2,Temple,Nov,Family,6,Mathura
19000,4,Beach,Feb,Budget,2,Goa
32000,5,Nature,Sep,Solo,1,Darjeeling
16000,3,Adventure,Apr,Budget,2,Rishikesh
24000,4,Shopping,Jan,Luxury,2,Jaipur
11000,3,Temple,Mar,Family,4,Madurai
27000,5,Beach,Nov,Luxury,2,Goa
7000,2,Nature,Jun,Budget,1,Ooty
38000,6,Adventure,Jul,Luxury,2,Manali
13000,3,Shopping,Dec,Family,4,Kolkata
21000,4,Temple,Oct,Solo,1,Varanasi
17000,4,Nature,May,Budget,2,Coorg
29000,5,Beach,Dec,Luxury,4,Andaman
6000,2,Temple,Jan,Budget,2,Tirupati
23000,4,Adventure,Jun,Solo,1,Rishikesh
15000,3,Shopping,Nov,Family,4,Bangalore
12000,3,Nature,Jul,Budget,2,Munnar
34000,5,Beach,Feb,Luxury,2,Goa
8000,2,Temple,Mar,Family,4,Puri
26000,5,Adventure,Aug,Budget,2,Manali
18000,4,Shopping,Dec,Solo,1,Mumbai
10000,3,Nature,Sep,Family,4,Ooty
22000,4,Temple,Oct,Luxury,2,Varanasi
14000,3,Beach,May,Budget,3,Goa
31000,5,Adventure,Jun,Luxury,2,Leh
9000,2,Shopping,Jan,Family,4,Jaipur
20000,4,Nature,Apr,Solo,1,Darjeeling
16000,3,Temple,Feb,Budget,4,Madurai
28000,5,Beach,Nov,Luxury,2,Andaman
7000,2,Adventure,Jul,Budget,1,Rishikesh
25000,4,Shopping,Dec,Family,4,Delhi
19000,4,Nature,May,Solo,1,Shimla
11000,3,Temple,Jan,Budget,2,Tirupati
33000,6,Beach,Feb,Luxury,4,Goa
15000,3,Adventure,Mar,Budget,2,Munnar
24000,4,Shopping,Oct,Family,4,Mumbai
